excel_row,measurer_code,pedestal_id,pedestal,status_code,success,response
88,MD083,MCP46-MD083,MCP46,201,True,"{""message"":""Measurer Created, Id:88""}"
89,MD084,MDP35-MD084,MDP35,201,True,"{""message"":""Measurer Created, Id:89""}"
90,MD085,MDP35-MD085,MDP35,201,True,"{""message"":""Measurer Created, Id:90""}"
91,MD086,MDP79-MD086,MDP79,201,True,"{""message"":""Measurer Created, Id:91""}"
92,MD087,MDP79-MD087,MDP79,201,True,"{""message"":""Measurer Created, Id:92""}"
93,MD088,MDP1113-MD088,MDP1113,201,True,"{""message"":""Measurer Created, Id:93""}"
94,MD089,MDP1113-MD089,MDP1113,201,True,"{""message"":""Measurer Created, Id:94""}"
95,MD090,MDP1517-MD090,MDP1517,201,True,"{""message"":""Measurer Created, Id:95""}"
96,MD091,MDP1517-MD091,MDP1517,201,True,"{""message"":""Measurer Created, Id:96""}"
97,MD092,MDP1921-MD092,MDP1921,201,True,"{""message"":""Measurer Created, Id:97""}"
98,MD093,MDP1921-MD093,MDP1921,201,True,"{""message"":""Measurer Created, Id:98""}"
99,MD094,MDP2325-MD094,MDP2325,201,True,"{""message"":""Measurer Created, Id:99""}"
100,MD095,MDP2325-MD095,MDP2325,201,True,"{""message"":""Measurer Created, Id:100""}"
101,MD096,MDP2729-MD096,MDP2729,201,True,"{""message"":""Measurer Created, Id:101""}"
102,MD097,MDP2729-MD097,MDP2729,201,True,"{""message"":""Measurer Created, Id:102""}"
103,MD098,MDP3133-MD098,MDP3133,201,True,"{""message"":""Measurer Created, Id:103""}"
104,MD099,MDP3133-MD099,MDP3133,201,True,"{""message"":""Measurer Created, Id:104""}"
105,MD100,MDP3537-MD100,MDP3537,201,True,"{""message"":""Measurer Created, Id:105""}"
106,MD101,MDP3537-MD101,MDP3537,201,True,"{""message"":""Measurer Created, Id:106""}"
107,MD102,MDP3941-MD102,MDP3941,201,True,"{""message"":""Measurer Created, Id:107""}"
108,MD103,MDP3941-MD103,MDP3941,201,True,"{""message"":""Measurer Created, Id:108""}"
109,MD104,MDP4345-MD104,MDP4345,201,True,"{""message"":""Measurer Created, Id:109""}"
110,MD105,MDP4345-MD105,MDP4345,201,True,"{""message"":""Measurer Created, Id:110""}"
111,MD106,MDP4447-MD106,MDP4447,201,True,"{""message"":""Measurer Created, Id:111""}"
112,MD107,MDP4447-MD107,MDP4447,201,True,"{""message"":""Measurer Created, Id:112""}"
113,MD108,MDP4042-MD108,MDP4042,201,True,"{""message"":""Measurer Created, Id:113""}"
114,MD109,MDP4042-MD109,MDP4042,201,True,"{""message"":""Measurer Created, Id:114""}"
115,MD110,MDP3638-MD110,MDP3638,201,True,"{""message"":""Measurer Created, Id:115""}"
116,MD111,MDP3638-MD111,MDP3638,201,True,"{""message"":""Measurer Created, Id:116""}"
117,MD112,MDP3234-MD112,MDP3234,201,True,"{""message"":""Measurer Created, Id:117""}"
118,MD113,MDP3234-MD113,MDP3234,201,True,"{""message"":""Measurer Created, Id:118""}"
119,MD114,MDP2830-MD114,MDP2830,201,True,"{""message"":""Measurer Created, Id:119""}"
120,MD115,MDP2830-MD115,MDP2830,201,True,"{""message"":""Measurer Created, Id:120""}"
121,MD116,MDP2624-MD116,MDP2624,201,True,"{""message"":""Measurer Created, Id:121""}"
122,MD117,MDP2624-MD117,MDP2624,201,True,"{""message"":""Measurer Created, Id:122""}"
123,MD118,MDP2022-MD118,MDP2022,201,True,"{""message"":""Measurer Created, Id:123""}"
124,MD119,MDP2022-MD119,MDP2022,201,True,"{""message"":""Measurer Created, Id:124""}"
125,MD120,MDP1618-MD120,MDP1618,201,True,"{""message"":""Measurer Created, Id:125""}"
126,MD121,MDP1618-MD121,MDP1618,201,True,"{""message"":""Measurer Created, Id:126""}"
127,MD122,MDP1214-MD122,MDP1214,201,True,"{""message"":""Measurer Created, Id:127""}"
128,MD123,MDP1214-MD123,MDP1214,201,True,"{""message"":""Measurer Created, Id:128""}"
129,MD124,MDP810-MD124,MDP810,201,True,"{""message"":""Measurer Created, Id:129""}"
130,MD125,MDP810-MD125,MDP810,201,True,"{""message"":""Measurer Created, Id:130""}"
131,MD126,MDP46-MD126,MDP46,201,True,"{""message"":""Measurer Created, Id:131""}"
132,MD127,MDP46-MD127,MDP46,201,True,"{""message"":""Measurer Created, Id:132""}"
133,MD128,MDP12-MD128,MDP12,201,True,"{""message"":""Measurer Created, Id:133""}"
134,MD129,MDP12-MD129,MDP12,201,True,"{""message"":""Measurer Created, Id:134""}"
135,MD130,MEP35-MD130,MEP35,201,True,"{""message"":""Measurer Created, Id:135""}"
136,MD131,MEP35-MD131,MEP35,201,True,"{""message"":""Measurer Created, Id:136""}"
137,MD132,MEP79-MD132,MEP79,201,True,"{""message"":""Measurer Created, Id:137""}"
138,MD133,MEP79-MD133,MEP79,201,True,"{""message"":""Measurer Created, Id:138""}"
139,MD134,MEP1113-MD134,MEP1113,201,True,"{""message"":""Measurer Created, Id:139""}"
140,MD135,MEP1113-MD135,MEP1113,201,True,"{""message"":""Measurer Created, Id:140""}"
141,MD136,MEP1517-MD136,MEP1517,201,True,"{""message"":""Measurer Created, Id:141""}"
142,MD137,MEP1517-MD137,MEP1517,201,True,"{""message"":""Measurer Created, Id:142""}"
143,MD138,MEP2325-MD138,MEP2325,201,True,"{""message"":""Measurer Created, Id:143""}"
144,MD139,MEP2325-MD139,MEP2325,201,True,"{""message"":""Measurer Created, Id:144""}"
145,MD140,MEP2729-MD140,MEP2729,201,True,"{""message"":""Measurer Created, Id:145""}"
146,MD141,MEP2729-MD141,MEP2729,201,True,"{""message"":""Measurer Created, Id:146""}"
147,MD142,MEP3133-MD142,MEP3133,201,True,"{""message"":""Measurer Created, Id:147""}"
148,MD143,MEP3133-MD143,MEP3133,201,True,"{""message"":""Measurer Created, Id:148""}"
149,MD144,MEP3537-MD144,MEP3537,201,True,"{""message"":""Measurer Created, Id:149""}"
150,MD145,MEP3537-MD145,MEP3537,201,True,"{""message"":""Measurer Created, Id:150""}"
151,MD146,MEP3941-MD146,MEP3941,201,True,"{""message"":""Measurer Created, Id:151""}"
152,MD147,MEP3941-MD147,MEP3941,201,True,"{""message"":""Measurer Created, Id:152""}"
153,MD148,MEP4345-MD148,MEP4345,201,True,"{""message"":""Measurer Created, Id:153""}"
154,MD149,MEP4345-MD149,MEP4345,201,True,"{""message"":""Measurer Created, Id:154""}"
155,MD150,MEP4749-MD150,MEP4749,201,True,"{""message"":""Measurer Created, Id:155""}"
156,MD151,MEP4749-MD151,MEP4749,201,True,"{""message"":""Measurer Created, Id:156""}"
157,MD152,MEP5051-MD152,MEP5051,201,True,"{""message"":""Measurer Created, Id:157""}"
158,MD153,MEP5051-MD153,MEP5051,201,True,"{""message"":""Measurer Created, Id:158""}"
159,MD154,MEP4648-MD154,MEP4648,201,True,"{""message"":""Measurer Created, Id:159""}"
160,MD155,MEP4648-MD155,MEP4648,201,True,"{""message"":""Measurer Created, Id:160""}"
161,MD156,MEP4244-MD156,MEP4244,201,True,"{""message"":""Measurer Created, Id:161""}"
162,MD157,MEP4244-MD157,MEP4244,201,True,"{""message"":""Measurer Created, Id:162""}"
163,MD158,MEP3840-MD158,MEP3840,201,True,"{""message"":""Measurer Created, Id:163""}"
164,MD159,MEP3840-MD159,MEP3840,201,True,"{""message"":""Measurer Created, Id:164""}"
165,MD160,MEP3436-MD160,MEP3436,201,True,"{""message"":""Measurer Created, Id:165""}"
